name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,species
Cliegg Lars,183,NA,brown,fair,blue,82BBY,male,Tatooine,Human
Poggle the Lesser,183,80,none,green,yellow,NA,male,Geonosis,Geonosian
Luminara Unduli,170,56.2,black,yellow,blue,58BBY,female,Mirial,Mirialan
Barriss Offee,166,50,black,yellow,blue,40BBY,female,Mirial,Mirialan
Dormé,165,NA,brown,light,brown,NA,female,Naboo,Human
Dooku,193,80,white,fair,brown,102BBY,male,Serenno,Human
Bail Prestor Organa,191,NA,black,tan,brown,67BBY,male,Alderaan,Human
Jango Fett,183,79,black,tan,brown,66BBY,male,Concord Dawn,Human
Zam Wesell,168,55,blonde,"fair, green, yellow",yellow,NA,female,Zolan,Clawdite
Dexter Jettster,198,102,none,brown,yellow,NA,male,Ojom,Besalisk
Lama Su,229,88,none,grey,black,NA,male,Kamino,Kaminoan
Taun We,213,NA,none,grey,black,NA,female,Kamino,Kaminoan
Jocasta Nu,167,NA,white,fair,blue,NA,female,Coruscant,Human
Ratts Tyerell,79,15,none,"grey, blue",NA,NA,male,Aleen Minor,Aleena
R4-P17,96,NA,none,"silver, red","red, blue",NA,female,NA,NA
Wat Tambor,193,48,none,"green, grey",NA,NA,male,Skako,Skakoan
San Hill,191,NA,none,grey,gold,NA,male,Muunilinst,Muun
Shaak Ti,178,57,none,"red, blue, white",black,NA,female,Shili,Togruta
Grievous,216,159,none,"brown, white","green, yellow",NA,male,Kalee,Kaleesh
Tarfful,234,136,brown,brown,blue,NA,male,Kashyyyk,Wookiee
Raymus Antilles,188,79,brown,light,brown,NA,male,Alderaan,Human
Sly Moore,178,48,none,pale,white,NA,female,Umbara,NA
Tion Medon,206,80,none,grey,black,NA,male,Utapau,Pau'an
Finn,NA,NA,black,dark,dark,NA,male,NA,Human
Rey,NA,NA,brown,light,hazel,NA,female,NA,Human
Poe Dameron,NA,NA,brown,light,brown,NA,male,NA,Human
BB8,NA,NA,none,none,black,NA,none,NA,Droid
Captain Phasma,NA,NA,NA,NA,NA,NA,female,NA,NA
Padmé Amidala,165,45,brown,light,brown,46BBY,female,Naboo,Human
